Season,Player,Pos,Age,Tm,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,2P.2,3P.2,%FGA,#,%3PA,3P%,Att.,#.1
2012-2013,A.J. Price,PG,26,WAS,57,1278,0.39,18.3,0.516,0.092,0.116,0.114,0.194,0.484,0.4270000000000001,0.5529999999999999,0.417,0.447,0.363,0.35,0.308,0.7709999999999999,0.0,0,0.23,0.391,0,0
2012-2013,Aaron Brooks,PG,28,HOU,7,38,0.308,18.3,0.462,0.308,0.0,0.0,0.154,0.5379999999999999,0.333,0.5,0.0,0.0,0.0,0.28600000000000003,1.0,1.0,0.0,0,0.14300000000000002,0.0,0,0
2012-2013,Aaron Brooks,PG,28,SAC,46,959,0.459,15.7,0.581,0.218,0.149,0.069,0.145,0.419,0.517,0.621,0.4,0.524,0.477,0.378,0.198,0.625,0.0,0,0.189,0.375,2,0
2012-2013,Aaron Brooks,PG,28,TOT,53,997,0.453,15.8,0.5760000000000001,0.222,0.142,0.066,0.146,0.424,0.511,0.614,0.4,0.524,0.457,0.373,0.215,0.64,0.0,0,0.187,0.36,2,0
2012-2013,Aaron Gray,C,28,TOR,42,513,0.5329999999999999,3.9,1.0,0.578,0.3670000000000001,0.033,0.022,0.0,0.5329999999999999,0.635,0.364,0.667,0.5,0.0,0.708,0.0,0.08900000000000001,8,0.0,0.0,0,0
2012-2013,Al Harrington,C,32,ORL,10,119,0.35100000000000003,16.3,0.474,0.298,0.053,0.018000000000000002,0.105,0.526,0.444,0.529,0.333,0.0,0.333,0.267,0.333,1.0,0.0,0,0.233,0.14300000000000002,0,0
2012-2013,Al Horford,C,26,ATL,74,2756,0.5429999999999999,9.5,0.994,0.35,0.207,0.114,0.324,0.006,0.544,0.752,0.434,0.446,0.423,0.5,0.7709999999999999,0.667,0.098,101,0.5,0.667,0,0
2012-2013,Al Jefferson,C,28,UTA,78,2578,0.494,10.2,0.986,0.241,0.29100000000000004,0.16899999999999998,0.285,0.014,0.5,0.718,0.464,0.416,0.401,0.118,0.547,1.0,0.059,65,0.17600000000000002,0.0,3,0
2012-2013,Al-Farouq Aminu,SF,22,NOH,76,2066,0.475,7.1,0.96,0.489,0.224,0.08,0.16699999999999998,0.04,0.486,0.642,0.368,0.316,0.266,0.211,0.71,1.0,0.19,80,0.421,0.375,0,0
2012-2013,Alan Anderson,SF,30,TOR,65,1495,0.383,16.7,0.537,0.14800000000000002,0.14,0.107,0.14300000000000002,0.463,0.426,0.6809999999999999,0.3720000000000001,0.409,0.227,0.333,0.447,0.853,0.008,5,0.32299999999999995,0.359,0,0
